,ent,count
1056,Hic,1
1057,Premia,1
1058,Count of Soleto,1
1059,Bucchianino,1
1060,Ischia,1
1061,Monte,1
1062,Campanile of San Giovanni e Paolo,1
1063,Aragon,1
1064,d'Este,1
1065,Marchese Alberigo,1
1066,Piazza di San Domenico,1
1067,Tartagna,1
1068,Nam,1
1069,Canedoli,1
1070,Terranuova,1
1071,Countess of Mileto,1
1072,Cicara,1
1073,Montefeltro,1
1074,Pastum,1
1075,Sirena,1
1076,"MCCCCLII"".---",1
1077,Minimis,1
1078,S. Casa,1
1079,Loreto,1
1080,Casa,1
1081,Hotel de la Lana,1
1082,Judea,1
1083,Canonica,1
1084,Salern,1
1085,A,1
1086,Sibylla,1
1087,Siclorum,1
1088,Paulabianca,1
1089,San Giovanni del Toro,1
1090,duomo - Madonna,1
1091,Campano,1
1092,Busta,1
1093,Erected,1
1094,Cathedral of Naples,1
1095,cuy,1
1096,Aprelis,1
1097,Trudella Filumarina de Neapoli,1
1098,"Priorato of Rome"".---",1
1099,Theodorici,1
1100,Museo Lapidario,1
1101,Armenia,1
1102,Taddeo da Sessa,1
1103,San Teodoro,1
1104,Sarcophagus of S. Liberio II,1
1105,Battistero,1
1106,"Ravenna"".---
---Ravenna",1
1107,San Vitale,1
1108,Neptune,1
1109,San Felice,1
1110,Nolano,1
1111,Viceroy Garsin,1
1112,Pietros,1
1113,Marecchia,1
1114,Campo Santo,1
1115,Pachstein,1
1116,Albertinum,1
1117,Orleans,1
1118,Santa Margherita,1
1119,Bambino GesÃ¹,1
1120,Via Aemilia,1
1121,Ponte d'Augusto,1
1122,Petronio Bologna,1
1123,Roman bridge,1
1124,Capella,1
1125,Malatestiano,1
1126,Flaminia,1
1127,Tempio de' Malatesta,1
1128,Symmonds,1
1129,Wolt,1
1130,San Giacomo Maggiore,1
1131,Basilica,1
1132,Balzo,1
1133,Ferentinum,1
1134,Fondi,1
1135,Santa Maria della VeritÃ ,1
1136,Galiana,1
1137,Gradis,1
1138,Cerveteri,1
1139,Cosimatesque,1
1140,Iupiter,1
1141,Bieda,1
1142,Mercanti,1
1143,S. Francesco,1
1144,San Lorenzo,1
1145,Santa Scolastica,1
1146,Petra,1
1147,Norchia,1
1148,Giove,1
1149,City of Bologna,1
1150,Banx,1
1151,Pisani - 14th,1
1152,Duomo of Florence,1
1153,Campanile of the Duomo,1
1154,Nicoli,1
1155,Corpus magnifici Merloti,1
1156,Ille,1
1157,Virgils,1
1158,Here Barbarossa,1
1159,Santa Maria Pomposa,1
1160,Gabbia,1
1161,Baptist,1
1162,Drugo,1
1163,Lubens,1
1164,Saracen,1
1165,Secchia,1
1166,La Ghirlandina,1
1167,Romagna,1
1168,Sancto Severino,1
1169,Bacchananial,1
1170,Treceno,1
1171,Gennaro,1
1172,Euphranor,1
1173,Perseus,1
1174,Peitho,1
1175,Noyas Collection,1
1176,Caesaris,1
1177,Sanfelicia,1
1178,Sanctum Felicem,1
1179,Baptista San Felice,1
1180,Andromeda,1
1181,Montoliveto,1
1182,Seggio di Capuana,1
1183,Maiano,1
1184,San Savino,1
1185,Amalfi,1
1186,Museo Etrusco,1
1187,Idolino,1
1188,Parisina de' Malateste,1
1189,Este,1
1190,Duomo for Ludovico il Moro,1
1191,Galeria,1
1192,Settimiana,1
1193,Catacombe di Callisto,1
1194,Lucille,1
1195,Eudorom,1
1196,Capella Palatina,1
1197,Toscan,1
1198,Ferrucci,1
1199,Costanza,1
1200,San Frediano,1
1201,Santo Volto,1
1202,Monument,1
1203,Crystal,1
1204,Monument of Ilaria del Carretto,1
1205,perdut'hanno,1
1206,Pianga Pistoia,1
1207,Novellamente,1
1208,Messer Cino,1
1209,Selvaggia de' Vergolesi,1
1210,Monument of Cino dei Sinibaldi,1
1211,Nicodemus,1
1212,Della Robbia,1
1213,Baleri,1
1214,Lapa,1
1215,Count,1
1216,Badia,1
1217,Pantelleschi,1
1218,Achaia,1
1219,Renier,1
1220,Neri,1
1221,Great Seneschal,1
1222,Villani,1
1223,Catacombs,1
1224,Messere Amerigo di Narbona,1
1225,Campaldino,1
1226,Duomo of Girgenti,1
1227,Orgagna,1
1228,Timoleoris,1
1229,Akragas,1
1230,Grand Prior,1
1231,Pisano,1
1232,S. Domenico of,1
1233,"---
---Pistoia",1
1234,Lasas,1
1235,palazzo Rondanini,1
1236,catacombe di Callisto,1
1237,museo Lateranense_Storie,1
1238,Orvieto Cathedral,1
1239,Lasa,1
1240,Machaon,1
1241,Valkyries,1
1242,Vercelli,1
1243,Cabrieres,1
1244,Sodomas,1
1245,Ghetto,1
1246,MosÃ¨,1
1247,Duomo di Siena,1
1248,Palazzo Strozzi,1
1249,Santa Croce,1
1250,Pisa N.,1
1251,"Museo dei Bagni"".---
---S.",1
1252,d'Orange,1
1253,Babylon,1
1254,Bagheria,1
1255,Vecchia del Aceto,1
1256,Algiers,1
1257,Municipale,1
1258,Kens.n Mus,1
1259,Arrigo,1
1260,Counts della Gherardesca,1
1261,Girgenti,1
1262,Kensington Mus.m,1
1263,Lecce,1
1264,S. Stagi,1
1265,Lavth Aphuna,1
1266,Acre,1
1267,Liege,1
1268,Piacenza,1
1269,Purg,1
1270,Carrara,1
1271,Torre,1
1272,Archbishop of Milan,1
1273,epitaffi.---,1
1274,"Santa Maria de' Miracoli"".---
---Venice",1
1275,Via Sacra,1
1276,Lepanto,1
